run_id,label,events_exported,start_utc,end_utc
P009,post_exploitation,33,2026-07-10T23:27:43Z,2026-07-10T23:27:44Z
P010,post_exploitation,22,2026-07-10T23:28:09Z,2026-07-10T23:28:09Z
P011,post_exploitation,21,2026-07-10T23:28:34Z,2026-07-10T23:28:34Z
P012,post_exploitation,25,2026-07-10T23:28:59Z,2026-07-10T23:29:00Z
P013,post_exploitation,27,2026-07-10T23:29:25Z,2026-07-10T23:29:25Z
P014,post_exploitation,17,2026-07-10T23:29:50Z,2026-07-10T23:29:51Z
P015,post_exploitation,49,2026-07-10T23:30:16Z,2026-07-10T23:33:16Z
W001,web_attack,24219,2026-07-11T13:10:14Z,2026-07-11T13:11:44Z
W002,web_attack,37742,2026-07-11T13:12:09Z,2026-07-11T13:13:39Z
W003,web_attack,8842,2026-07-11T13:14:04Z,2026-07-11T13:15:34Z
W004,web_attack,9,2026-07-11T14:39:18Z,2026-07-11T14:39:27Z
W005,web_attack,30,2026-07-11T14:39:52Z,2026-07-11T14:39:59Z
W006,web_attack,41,2026-07-11T14:40:24Z,2026-07-11T14:40:30Z
W007,web_attack,32,2026-07-11T14:40:55Z,2026-07-11T14:40:59Z
W008,web_attack,23,2026-07-11T14:41:24Z,2026-07-11T14:41:29Z
W009,web_attack,42,2026-07-11T14:41:54Z,2026-07-11T14:42:09Z
W010,web_attack,72,2026-07-11T14:42:34Z,2026-07-11T14:42:45Z
W011,web_attack,22,2026-07-11T14:43:10Z,2026-07-11T14:43:28Z
W012,web_attack,62,2026-07-11T14:43:53Z,2026-07-11T14:44:06Z
W013,web_attack,80,2026-07-11T14:44:31Z,2026-07-11T14:44:52Z
W014,web_attack,135,2026-07-11T14:45:17Z,2026-07-11T14:45:49Z
W015,web_attack,77,2026-07-11T14:46:14Z,2026-07-11T14:46:26Z
W016,web_attack,159,2026-07-11T14:46:51Z,2026-07-11T14:47:16Z
W017,web_attack,92,2026-07-11T14:47:41Z,2026-07-11T14:48:02Z
W018,web_attack,8,2026-07-11T14:48:27Z,2026-07-11T14:48:36Z
W019,web_attack,31,2026-07-11T14:49:01Z,2026-07-11T14:49:07Z
W020,web_attack,41,2026-07-11T14:49:32Z,2026-07-11T14:49:38Z
W021,web_attack,44,2026-07-11T14:50:03Z,2026-07-11T14:50:19Z
W022,web_attack,23,2026-07-11T14:50:44Z,2026-07-11T14:50:48Z
W023,web_attack,34,2026-07-11T14:51:13Z,2026-07-11T14:51:18Z
W024,web_attack,82,2026-07-11T14:51:43Z,2026-07-11T14:52:04Z
W025,web_attack,81,2026-07-11T14:52:29Z,2026-07-11T14:52:41Z
W026,web_attack,23,2026-07-11T14:53:06Z,2026-07-11T14:53:25Z
W027,web_attack,70,2026-07-11T14:53:50Z,2026-07-11T14:54:02Z
W028,web_attack,111,2026-07-11T14:54:27Z,2026-07-11T14:54:53Z
W029,web_attack,61,2026-07-11T14:55:18Z,2026-07-11T14:55:30Z
W030,web_attack,33,2026-07-11T14:55:55Z,2026-07-11T14:56:09Z
P016,post_exploitation,28,2026-07-22T13:48:56Z,2026-07-22T13:48:56Z
P017,post_exploitation,22,2026-07-22T13:49:21Z,2026-07-22T13:49:22Z
P018,post_exploitation,22,2026-07-22T13:49:47Z,2026-07-22T13:49:47Z
P019,post_exploitation,27,2026-07-22T14:05:42Z,2026-07-22T14:05:43Z
P020,post_exploitation,17,2026-07-22T14:06:08Z,2026-07-22T14:06:08Z
P021,post_exploitation,22,2026-07-22T14:06:33Z,2026-07-22T14:06:34Z
P022,post_exploitation,28,2026-07-22T14:06:59Z,2026-07-22T14:06:59Z
P023,post_exploitation,20,2026-07-22T14:07:24Z,2026-07-22T14:07:25Z
P024,post_exploitation,23,2026-07-22T14:07:50Z,2026-07-22T14:07:50Z
P025,post_exploitation,22,2026-07-22T14:08:15Z,2026-07-22T14:08:15Z
P026,post_exploitation,27,2026-07-22T14:08:40Z,2026-07-22T14:08:41Z
P027,post_exploitation,33,2026-07-22T14:09:06Z,2026-07-22T14:09:06Z
P028,post_exploitation,18,2026-07-22T14:09:31Z,2026-07-22T14:09:32Z
P029,post_exploitation,22,2026-07-22T14:09:57Z,2026-07-22T14:09:57Z
P030,post_exploitation,28,2026-07-22T14:10:22Z,2026-07-22T14:10:22Z
D001,denial_of_service,39791,2026-07-24T09:01:26Z,2026-07-24T09:04:17Z
D002,denial_of_service,75967,2026-07-24T09:04:47Z,2026-07-24T09:07:30Z
D003,denial_of_service,88668,2026-07-24T09:08:00Z,2026-07-24T09:10:43Z
D004,denial_of_service,53511,2026-07-24T09:16:46Z,2026-07-24T09:19:29Z
D005,denial_of_service,85098,2026-07-24T09:19:59Z,2026-07-24T09:22:48Z
D006,denial_of_service,72715,2026-07-24T09:23:18Z,2026-07-24T09:26:01Z
D007,denial_of_service,91607,2026-07-24T09:26:31Z,2026-07-24T09:29:14Z
D008,denial_of_service,93999,2026-07-24T09:29:44Z,2026-07-24T09:32:29Z
D009,denial_of_service,94569,2026-07-24T09:32:59Z,2026-07-24T09:35:42Z
D010,denial_of_service,22613,2026-07-24T09:36:12Z,2026-07-24T09:38:56Z
D011,denial_of_service,56816,2026-07-24T09:39:26Z,2026-07-24T09:42:09Z
D012,denial_of_service,51831,2026-07-24T09:42:39Z,2026-07-24T09:45:23Z
D013,denial_of_service,55936,2026-07-24T09:45:53Z,2026-07-24T09:48:36Z
D014,denial_of_service,15100,2026-07-24T09:49:06Z,2026-07-24T09:50:04Z
D015,denial_of_service,15102,2026-07-24T09:50:34Z,2026-07-24T09:51:32Z
D016,denial_of_service,15101,2026-07-24T09:52:02Z,2026-07-24T09:53:00Z
D017,denial_of_service,15100,2026-07-24T09:53:30Z,2026-07-24T09:54:28Z
D018,denial_of_service,15101,2026-07-24T09:54:58Z,2026-07-24T09:55:56Z
D019,denial_of_service,15100,2026-07-24T09:56:26Z,2026-07-24T09:57:24Z
D020,denial_of_service,6408,2026-07-24T09:57:54Z,2026-07-24T09:59:09Z
D021,denial_of_service,19446,2026-07-24T09:59:39Z,2026-07-24T10:00:54Z
D022,denial_of_service,30153,2026-07-24T10:01:24Z,2026-07-24T10:02:55Z
D023,denial_of_service,15862,2026-07-24T10:03:25Z,2026-07-24T10:04:41Z
D024,denial_of_service,18681,2026-07-24T10:05:11Z,2026-07-24T10:06:27Z
D025,denial_of_service,23083,2026-07-24T10:06:57Z,2026-07-24T10:08:23Z
D026,denial_of_service,9334,2026-07-24T10:08:53Z,2026-07-24T10:11:54Z
D027,denial_of_service,9502,2026-07-24T10:12:24Z,2026-07-24T10:15:26Z
D028,denial_of_service,12423,2026-07-24T10:15:56Z,2026-07-24T10:18:57Z
D029,denial_of_service,8393,2026-07-24T10:19:27Z,2026-07-24T10:22:29Z
D030,denial_of_service,11924,2026-07-24T10:22:59Z,2026-07-24T10:26:00Z
B001,brute_force,56,2026-07-27T19:47:55Z,2026-07-27T19:47:57Z
B002,brute_force,82,2026-07-27T19:48:57Z,2026-07-27T19:49:03Z
B003,brute_force,68,2026-07-27T19:50:03Z,2026-07-27T19:50:07Z
B004,brute_force,518,2026-07-27T19:51:07Z,2026-07-27T19:51:28Z
B005,brute_force,694,2026-07-27T19:52:28Z,2026-07-27T19:53:32Z
B006,brute_force,830,2026-07-27T19:54:32Z,2026-07-27T19:56:07Z
B007,brute_force,64,2026-07-27T19:57:07Z,2026-07-27T19:57:31Z
B008,brute_force,108,2026-07-27T19:58:31Z,2026-07-27T19:58:34Z
B009,brute_force,211,2026-07-27T19:59:34Z,2026-07-27T20:00:51Z
B010,brute_force,1103,2026-07-27T20:01:51Z,2026-07-27T20:02:26Z
B011,brute_force,96,2026-07-27T20:03:26Z,2026-07-27T20:03:33Z
B012,brute_force,64,2026-07-27T20:04:33Z,2026-07-27T20:04:36Z
B013,brute_force,518,2026-07-27T20:05:36Z,2026-07-27T20:06:15Z
B014,brute_force,50,2026-07-27T20:07:15Z,2026-07-27T20:07:17Z
B015,brute_force,59,2026-07-27T20:08:17Z,2026-07-27T20:08:30Z
B016,brute_force,490,2026-07-27T20:09:30Z,2026-07-27T20:11:36Z
B017,brute_force,80,2026-07-27T20:12:36Z,2026-07-27T20:12:44Z
B018,brute_force,70,2026-07-27T20:13:44Z,2026-07-27T20:13:48Z
B019,brute_force,357,2026-07-27T20:14:48Z,2026-07-27T20:14:54Z
B020,brute_force,60,2026-07-27T20:15:54Z,2026-07-27T20:15:55Z
B021,brute_force,338,2026-07-27T20:16:55Z,2026-07-27T20:17:01Z
B022,brute_force,152,2026-07-27T20:18:01Z,2026-07-27T20:18:17Z
B023,brute_force,119,2026-07-27T20:19:17Z,2026-07-27T20:19:49Z
B024,brute_force,157,2026-07-27T20:20:49Z,2026-07-27T20:20:58Z
B025,brute_force,64,2026-07-27T20:21:58Z,2026-07-27T20:22:01Z
B026,brute_force,181,2026-07-27T20:23:01Z,2026-07-27T20:23:07Z
B027,brute_force,138,2026-07-27T20:24:07Z,2026-07-27T20:24:23Z
B028,brute_force,999,2026-07-27T20:25:23Z,2026-07-27T20:35:50Z
B029,brute_force,1063,2026-07-27T20:36:50Z,2026-07-27T20:39:22Z
B030,brute_force,62,2026-07-27T20:40:22Z,2026-07-27T20:40:35Z
